id,nama_aktor
1,Paul Walker
2,Tyrese Gibson
3,Eva Mendes
4,Cole Hauser
5,Aamir Khan
6,Madhavan
7,Sharman Joshi
8,Kareena Kapoor Khan
9,Ryan Reynolds
10,Mélanie Laurent
11,Manuel Garcia-Rulfo
12,Ben Hardy
13,Steven Strait
14,Camilla Belle
15,Cliff Curtis
16,Omar Sharif
17,Chris Hemsworth
18,Michael Shannon
19,Michael Peña
20,Navid Negahban
21,Chiwetel Ejiofor
22,Michael Fassbender
23,Lupita Nyong'o
24,Benedict Cumberbatch
25,Chadwick Boseman
26,Sienna Miller
27,J.K. Simmons
28,Stephan James
29,Kiele Sanchez
30,Rhys Coiro
31,Diora Baird
32,Harold Perrineau
33,Mandy Moore
34,Claire Holt
35,Matthew Modine
36,Yani Gellman
37,James Franco
38,John Cusack
39,Amanda Peet
40,Thandie Newton
41,Tinatin Dalakishvili
42,Eddie Marsan
43,Rinal Mukhametov
44,Ravshana Kurkova
45,Domhnall Gleeson
46,Rachel McAdams
47,Bill Nighy
48,Lydia Wilson
49,Benjamin Walker
50,Dominic Cooper
51,Anthony Mackie
52,Mary Elizabeth Winstead
53,Sean Patrick Flanery
54,Dolph Lundgren
55,Chuck Liddell
56,Natalie Burn
57,Brad Pitt
58,Tommy Lee Jones
59,Ruth Negga
60,Liv Tyler
61,Will Smith
62,Jaden Smith
63,Sophie Okonedo
64,Zoë Kravitz
65,Harrison Ford
66,Gary Oldman
67,Glenn Close
68,Wendy Crewson
69,Jason Lee
70,David Cross
71,Cameron Richardson
72,Jane Lynch
73,Jenny Slate
74,Justin Long
75,Andrew Garfield
76,Emma Stone
77,Rhys Ifans
78,Denis Leary
79,Gerard Butler
80,Morgan Freeman
81,Jada Pinkett Smith
82,Lance Reddick
83,Annabelle Wallis
84,Ward Horton
85,Tony Amendola
86,Alfre Woodard
87,Mckenna Grace
88,Madison Iseman
89,Katie Sarife
90,Vera Farmiga
91,Stephanie Sigman
92,Talitha Bateman
93,Anthony LaPaglia
94,Miranda Otto
95,Jason Momoa
96,Amber Heard
97,Willem Dafoe
98,Patrick Wilson
99,Marion Cotillard
100,Jeremy Irons
101,Brendan Gleeson
102,Sam Worthington
103,Zoe Saldana
104,Sigourney Weaver
105,Stephen Lang
106,Robert Downey Jr.
107,Chris Evans
108,Scarlett Johansson
109,Leehom Wang
110,Tang Wei
111,Viola Davis
112,Jessica Rothe
113,Israel Broussard
114,Phi Vu
115,Suraj Sharma
116,Lindsay Lohan
117,Michael Keaton
118,Matt Dillon
119,Breckin Meyer
120,Macaulay Culkin
121,Joe Pesci
122,Daniel Stern
123,Catherine O'Hara
124,Alex D. Linz
125,Olek Krupa
126,Rya Kihlstedt
127,Lenny von Dohlen
128,Mike Weinberg
129,French Stewart
130,Jason Beghe
131,Clare Carey
132,Christian Martyn
133,Jodelle Ferland
134,Malcolm McDowell
135,Eddie Steeples
136,Eric Bana
137,Jennifer Connelly
138,Sam Elliott
139,Josh Lucas
140,Jaeden Martell
141,Sophia Lillis
142,Finn Wolfhard
143,Bill Skarsgård
144,James McAvoy
145,Jessica Chastain
146,Bill Hader
147,Isaiah Mustafa
148,Florence Pugh
149,Jack Reynor
150,William Jackson Harper
151,Vilhelm Blomgren
152,Arswendi Nasution
153,Tika Panggabean
154,Boris Bokir
155,Gita Bhebhita
156,Tom Cruise
157,Jon Voight
158,Emmanuelle Béart
159,Henry Czerny
160,Henry Cavill
161,Ving Rhames
162,Simon Pegg
163,Sofia Boutella
164,Russell Crowe
165,Lucas Till
166,Jane Levy
167,Thomas Lennon
168,Barry Pepper
169,Taissa Farmiga
170,Demián Bichir
171,Jonas Bloquet
172,Bonnie Aarons
173,Leonardo DiCaprio
174,Kate Winslet
175,Billy Zane
176,Kathy Bates
177,Elle Fanning
178,Rebecca Hall
179,Zlatko Buric
180,Agnieszka Grochowska
181,Masaya Matsukaze
182,Risa Taneda
183,Tatsuhisa Suzuki
184,Minori Chihara
185,Yuko Sanpei
186,Kokoro Kikuchi
187,Junko Takeuchi
188,Noriaki Sugiyama
189,Mariya Ise
190,Takeo Ōtsuka
191,Megumi Han
192,Saori Hayami
193,Hisako Kanemoto
194,Kazuhiko Inoue
195,Miyu Irino
196,Fumiko Orikasa
197,Maaya Sakamoto
198,Yoshitsugu Matsuoka
199,Jun Fukuyama
200,Asami Sanada
201,Manami Numakura
202,Saori Oonishi
203,Kaede Hondo
204,Miyuri Shimabukuro
205,Shion Wakayama
206,Ryoko Shiraishi
207,Koki Uchiyama
208,Natsuki Hanae
209,Akari Kito
210,Hiro Shimono
211,Suzu Hirose
212,Masaki Suda
213,Mamoru Miyano
214,Shintaro Asanuma
215,Kana Hanazawa
216,Hiroko Taguchi
217,Tomoe Tamiyasu
218,Ayane Sakura
219,Takumi Kitamura
220,Minami Hamabe
221,Tsutomu Tatsumi
222,Ayano Shiraishi
223,Chieko Baisho
224,Takuya Kimura
225,Mahiro Takasugi
226,Lynn
227,Rena Nounen
228,Yoshimasa Hosoya
229,Inori Minase
230,Taishi Nakagawa
231,Kaya Kiyohara
232,Junya Enoki
233,Yuma Uchida
234,Aki Toyosaki
235,Yoko Hikasa
236,Hideaki Anno
237,Miori Takimoto
238,Minami Takayama
239,Rei Sakuma
240,Ryota Katayose
241,Rina Kawaei
242,Asuka Nishi
243,Manami Tanaka
244,Jun Fukushima
245,Sora Amamiya
246,Nao Toyama
247,Yumiri Hanamori
248,Atsumi Tanezaki
249,Nao Tōyama
250,Marika Suzuki
251,Maaya Uchida
252,Mayuko Fukuda
253,Nako Mizusawa
254,Manaka Iwami
255,Tomokazu Sugita
256,Daiki Yamashita
257,Nobuhiko Okamoto
258,Ai Kayano
259,Rie Murakawa
260,Kotori Koiwai
261,Kana Asumi
262,Mayumi Tanaka
263,Kazuya Nakai
264,Akemi Okamura
265,Kappei Yamaguchi
266,Suzuko Mimori
267,Yuki Kaneko
268,Nozomi Yamamoto
269,Yui Fukuo
270,Yukiyo Fujii
271,Shintaro Oohata
272,Masayuki Katou
273,Tomoko Yamaguchi
274,Kazushige Nagashima
275,Yuria Nara
276,Hiroki Doi
277,Ayana Taketatsu
278,Miku Itou
279,Kaito Ishikawa
280,Asami Seto
281,Nao Touyama
282,Yuusuke Kobayashi
283,Rie Takahashi
284,Yumi Uchiyama
285,Chinatsu Akasaki
286,Kiyono Yasuno
287,Aoi Yuuki
288,Kensho Ono
289,Rumi Hiiragi
290,Mari Natsuki
291,Takashi Naito
292,Ryunosuke Kamiki
293,Mone Kamishiraishi
294,Masami Nagasawa
295,Etsuko Ichihara
296,Unknown???
297,Archie Yates
298,Ellie Kemper
299,Rob Delaney
300,Aisling Bea
