id,bahasa
1,Abkhazian
2,Achinese
3,Acoli
4,Adangme
5,Adyghe
6,Afar
7,Afrihili
8,Afrikaans
9,Aghem
10,Ainu
11,Akan
12,Akkadian
13,Akoose
14,Alabama
15,Albanian
16,Aleut
17,Algerian Arabic
18,American English
19,American Sign Language
20,Amharic
21,Ancient Egyptian
22,Ancient Greek
23,Angika
24,Ao Naga
25,Arabic
26,Aragonese
27,Aramaic
28,Araona
29,Arapaho
30,Arawak
31,Armenian
32,Aromanian
33,Arpitan
34,Assamese
35,Asturian
36,Asu
37,Atsam
38,Australian English
39,Austrian German
40,Avaric
41,Avestan
42,Awadhi
43,Aymara
44,Azerbaijani
45,Badaga
46,Bafia
47,Bafut
48,Bakhtiari
49,Balinese
50,Baluchi
51,Bambara
52,Bamun
53,Banjar
54,Basaa
55,Bashkir
56,Basque
57,Batak Toba
58,Bavarian
59,Beja
60,Belarusian
61,Bemba
62,Bena
63,Bengali
64,Betawi
65,Bhojpuri
66,Bikol
67,Bini
68,Bishnupriya
69,Bislama
70,Blin
71,Blissymbols
72,Bodo
73,Bosnian
74,Brahui
75,Braj
76,Brazilian Portuguese
77,Breton
78,British English
79,Buginese
80,Bulgarian
81,Bulu
82,Buriat
83,Burmese
84,Caddo
85,Cajun French
86,Canadian English
87,Canadian French
88,Cantonese
89,Capiznon
90,Carib
91,Catalan
92,Cayuga
93,Cebuano
94,Central Atlas Tamazight
95,Central Dusun
96,Central Kurdish
97,Central Yupik
98,Chadian Arabic
99,Chagatai
100,Chamorro
101,Chechen
102,Cherokee
103,Cheyenne
104,Chibcha
105,Chiga
106,Chimborazo Highland Quichua
107,Chinese
108,Chinook Jargon
109,Chipewyan
110,Choctaw
111,Church Slavic
112,Chuukese
113,Chuvash
114,Classical Newari
115,Classical Syriac
116,Colognian
117,Comorian
118,Congo Swahili
119,Coptic
120,Cornish
121,Corsican
122,Cree
123,Creek
124,Crimean Turkish
125,Croatian
126,Czech
127,Dakota
128,Danish
129,Dargwa
130,Dazaga
131,Delaware
132,Dinka
133,Divehi
134,Dogri
135,Dogrib
136,Duala
137,Dutch
138,Dyula
139,Dzongkha
140,Eastern Frisian
141,Efik
142,Egyptian Arabic
143,Ekajuk
144,Elamite
145,Embu
146,Emilian
147,English
148,Erzya
149,Esperanto
150,Estonian
151,European Portuguese
152,European Spanish
153,Ewe
154,Ewondo
155,Extremaduran
156,Fang
157,Fanti
158,Faroese
159,Fiji Hindi
160,Fijian
161,Filipino
162,Finnish
163,Flemish
164,Fon
165,Frafra
166,French
167,Friulian
168,Fulah
169,Ga
170,Gagauz
171,Galician
172,Gan Chinese
173,Ganda
174,Gayo
175,Gbaya
176,Geez
177,Georgian
178,German
179,Gheg Albanian
180,Ghomala
181,Gilaki
182,Gilbertese
183,Goan Konkani
184,Gondi
185,Gorontalo
186,Gothic
187,Grebo
188,Greek
189,Guarani
190,Gujarati
191,Gusii
192,Gwichʼin
193,Haida
194,Haitian
195,Hakka Chinese
196,Hausa
197,Hawaiian
198,Hebrew
199,Herero
200,Hiligaynon
201,Hindi
202,Hiri Motu
203,Hittite
204,Hmong
205,Hungarian
206,Hupa
207,Iban
208,Ibibio
209,Icelandic
210,Ido
211,Igbo
212,Iloko
213,Inari Sami
214,Indonesian
215,Ingrian
216,Ingush
217,Interlingua
218,Interlingue
219,Inuktitut
220,Inupiaq
221,Irish
222,Italian
223,Jamaican Creole English
224,Japanese
225,Javanese
226,Jju
227,Jola-Fonyi
228,Judeo-Arabic
229,Judeo-Persian
230,Jutish
231,Kabardian
232,Kabuverdianu
233,Kabyle
234,Kachin
235,Kaingang
236,Kako
237,Kalaallisut
238,Kalenjin
239,Kalmyk
240,Kamba
241,Kanembu
242,Kannada
243,Kanuri
244,Kara-Kalpak
245,Karachay-Balkar
246,Karelian
247,Kashmiri
248,Kashubian
249,Kawi
250,Kazakh
251,Kenyang
252,Khasi
253,Khmer
254,Khotanese
255,Khowar
256,Kikuyu
257,Kimbundu
258,Kinaray-a
259,Kinyarwanda
260,Kirmanjki
261,Klingon
262,Kom
263,Komi
264,Komi-Permyak
265,Kongo
266,Konkani
267,Korean
268,Koro
269,Kosraean
270,Kotava
271,Koyra Chiini
272,Koyraboro Senni
273,Kpelle
274,Krio
275,Kuanyama
276,Kumyk
277,Kurdish
278,Kurukh
279,Kutenai
280,Kwasio
281,Kyrgyz
282,Kʼicheʼ
283,Ladino
284,Lahnda
285,Lakota
286,Lamba
287,Langi
288,Lao
289,Latgalian
290,Latin
291,Latin American Spanish
292,Latvian
293,Laz
294,Lezghian
295,Ligurian
296,Limburgish
297,Lingala
298,Lingua Franca Nova
299,Literary Chinese
300,Lithuanian
301,Livonian
302,Lojban
303,Lombard
304,Low German
305,Lower Silesian
306,Lower Sorbian
307,Lozi
308,Luba-Katanga
309,Luba-Lulua
310,Luiseno
311,Lule Sami
