id,judul,thumbnail,status,tahun,deskripsi,durasi,created_on,last_modified,user_create_id,user_update_id
1,2 Fast 2 Furious,film_images/film-default.jpg,Released,2003,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",107,2023-05-05 13:27:00.539214,2023-05-06 07:32:33.520321,,
2,3 Idiots,film_images/0002.jpg,Released,2009,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",507,2023-05-05 14:09:07.862067,2023-05-06 07:32:38.110859,1,1
3,6 Underground,film_images/0003.jpg,Released,2019,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",120,2023-05-06 07:39:36.526339,2023-05-06 07:39:36.526388,,
4,"10,000 BC",film_images/0004.jpg,Released,2008,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.,120,2023-05-06 07:43:56.159102,2023-05-07 11:35:12.779750,,
5,12 Strong,film_images/0005.jpg,Released,2018,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,120,2023-05-07 11:39:12.430243,2023-05-07 11:39:12.430267,,
6,12 Years a Slave,film_images/0006.jpg,Released,2013,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",134,2023-05-07 11:39:12.430244,2023-05-07 11:39:12.430268,,
7,21 Bridges,film_images/0007.jpg,Released,2019,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",99,2023-05-07 11:39:12.430245,2023-05-07 11:39:12.430269,,
8,30 Days of Night: Dark Days,film_images/0008.jpg,Released,2010,"After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben.",92,2023-05-07 11:39:12.430246,2023-05-07 11:39:12.430270,,
9,47 Meters Down,film_images/0009.jpg,Released,2017,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface.",89,2023-05-07 11:39:12.430247,2023-05-07 11:39:12.430271,,
10,127 Hours,film_images/0010.jpg,Released,2010,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,94,2023-05-07 11:39:12.430248,2023-05-07 11:39:12.430272,,
11,2012,film_images/0011.jpg,Released,2009,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",158,2023-05-07 11:39:12.430249,2023-05-07 11:39:12.430273,,
12,Abigail,film_images/0012.jpg,Released,2018,"Abigail is a relationship fixer. It's her job to put the final nail in the coffin for couples who want things to end - for a price, of course - and she never feels bad about it. She believes all relationships are insidious and nobody is irreplaceable. Welcome to the first installment of this incredible story, where feelings are unimportant and the outcome is always messy.",110,2023-05-07 11:39:12.430250,2023-05-07 11:39:12.430274,,
13,About Time,film_images/0013.jpg,Released,2013,"The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",123,2023-05-07 11:39:12.430251,2023-05-07 11:39:12.430275,,
