id,nama_sutradara
1,John Singleton
2,Rajkumar Hirani
3,Michael Bay
4,Roland Emmerich
5,Nicolai Fuglsig
6,Steve McQueen
7,Brian Kirk
8,Ben Ketai
9,Johannes Roberts
10,Danny Boyle
11,Aleksandr Boguslavskiy
12,Richard Curtis
13,Timur Bekmambetov
14,Michael Merino
15,Daniel Zirilli
16,James Gray
17,M. Night Shyamalan
18,Wolfgang Petersen
19,Tim Hill
20,Mike Mitchell
21,Marc Webb
22,Ric Roman Waugh
23,John R. Leonetti
24,Gary Dauberman
25,David F. Sandberg
26,James Wan
27,Justin Kurzel
28,James Cameron
29,Joss Whedon
30,Michael Mann
31,Christopher Landon
32,Angela Robinson
33,Chris Columbus
34,Raja Gosnell
35,Rod Daniel
36,Peter Hewitt
37,Dan Mazer
38,Ang Lee
39,Andrés Muschietti
40,Bene Dion Rajagukguk
41,Ari Aster
42,Brian De Palma
43,Christopher McQuarrie
44,Stephen Sommers
45,Chris Wedge
46,Corin Hardy
47,Max Minghella
48,Taichi Ishidate
49,Hiroyuki Yamashita
50,Kōki Yoshida
51,Makoto Shinkai
52,Kazuki Akane
53,Jun Nakagawa
54,Seiki Takuno
55,Haruo Sotozaki
56,Akiyuki Shinbo
57,Nobuyuki Takeuchi
58,Tensho
59,Takuya Sato
60,Tomohiko Itō
61,Isao Takahata
62,Hayao Miyazaki
63,Shinichiro Ushijima
64,Sunao Katabuchi
65,Takahiro Omori
66,Hiroyuki Hashimoto
67,Kotaro Tamura
68,Sunghoo Park
69,Naoko Yamada
70,Motoki Tanaka
71,Takaomi Kanasaki
72,Yoshiaki Kyogoku
73,Tsuneo Kobayashi
74,Tatsuya Ishihara
75,Mari Okada
76,Masayuki Yoshihara
77,Kenji Nagasaki
78,Atsuko Ishizuka
79,Shinya Kawamo
80,Takashi Otsuka
81,Keiichiro Kawaguchi
82,Yasuhiro Yoshiura
83,Masaharu Watanabe
84,Kanta Kamei
85,Masaaki Yuasa
86,Takahiro Miki
87,Sōichi Masui
